lb_code,ksmart_lb_code,lb_type,district_name,lb_name,ksmart_name,match_method,ward_agreement,wards_ours,wards_ksmart
G02065,G021108,Grama Panchayat,KOLLAM,Kummil,Kummil,exact,1.000,16,16
G02066,G021001,Grama Panchayat,KOLLAM,Poothakkulam,Poothakkulam,exact,1.000,19,19
G02067,G021002,Grama Panchayat,KOLLAM,Kalluvathukkal,Kalluvathukkal,exact,0.958,24,24
G02068,G021003,Grama Panchayat,KOLLAM,Chathannur,Chathannur,exact,1.000,19,19
G02069,G021004,Grama Panchayat,KOLLAM,Adichanalloor,Adichanalloor,exact,0.952,21,21
G02070,G021005,Grama Panchayat,KOLLAM,Chirakkara,Chirakkara,exact,0.824,17,17
G03001,G030101,Grama Panchayat,PATHANAMTHITTA,Anikkadu,Anicadu,fuzzy,0.929,14,14
G03002,G030102,Grama Panchayat,PATHANAMTHITTA,Kaviyoor,Kaviyoor,exact,1.000,14,14
G03003,G030103,Grama Panchayat,PATHANAMTHITTA,Kottanad,Kottanadu,fuzzy,1.000,14,14
G03004,G030105,Grama Panchayat,PATHANAMTHITTA,Kallooppara,Kallooppara,exact,1.000,14,14
G03005,G030104,Grama Panchayat,PATHANAMTHITTA,Kottangal,Kottangal,exact,0.929,14,14
G03006,G030106,Grama Panchayat,PATHANAMTHITTA,Kunnanthanam,Kunnathanam,fuzzy,1.000,16,16
G03007,G030107,Grama Panchayat,PATHANAMTHITTA,Mallappally,Mallappally,exact,1.000,15,15
G03008,G030201,Grama Panchayat,PATHANAMTHITTA,Kadapra,Kadapra,exact,0.938,16,16
G03009,G030202,Grama Panchayat,PATHANAMTHITTA,Kuttoor,Kuttoor,exact,0.867,15,15
G03010,G030203,Grama Panchayat,PATHANAMTHITTA,Niranam,Niranam,exact,1.000,14,14
G03011,G030204,Grama Panchayat,PATHANAMTHITTA,Nedumpram,Nedumpuram,fuzzy,1.000,14,14
G03012,G030205,Grama Panchayat,PATHANAMTHITTA,Peringara,Peringara,exact,0.812,16,16
G03013,G030301,Grama Panchayat,PATHANAMTHITTA,Ayiroor,Ayiroor,exact,1.000,16,16
G03014,G030302,Grama Panchayat,PATHANAMTHITTA,Eraviperoor,Eraviperoor,exact,0.889,18,18
G03015,G030303,Grama Panchayat,PATHANAMTHITTA,Koipram,Koipuram,fuzzy,1.000,18,18
G03016,G030304,Grama Panchayat,PATHANAMTHITTA,Thottappuzhassery,Thottapuzhassery,fuzzy,1.000,14,14
