pdf_id,gcs_path,gcs_bucket,file_size_bytes,bucket,year_label,lb_type_label,district_name,local_body_name,project_no,era
b55319f7-eafa-4fa9-8c9e-6d8b66279ecc,pdfs/2020-2021/Municipality/Ernakulam/North_Paravur_Municipality/287.pdf,your-pdf-bucket,198572,top,2020-2021,Municipality,Ernakulam,North Paravur Municipality,287,2017-2020
4d56777c-1ccd-4612-92c2-173e8312ba37,pdfs/2018-2019/Municipality/Ernakulam/Maradu_Municipality/513.pdf,your-pdf-bucket,204612,top,2018-2019,Municipality,Ernakulam,Maradu Municipality,513,2017-2020
f0e56baf-3931-4587-93e8-fce456df1628,pdfs/2020-2021/Municipality/Thiruvananthapuram/Neyyattinkara_Municipality/60.pdf,your-pdf-bucket,193468,top,2020-2021,Municipality,Thiruvananthapuram,Neyyattinkara Municipality,60,2017-2020
1137439f-1502-4200-9e7a-e30be639a533,pdfs/2021-2022/Municipality/Ernakulam/Kalamassery_Municipality/13.pdf,your-pdf-bucket,196258,top,2021-2022,Municipality,Ernakulam,Kalamassery Municipality,13,2021-2026
3e902f3c-4a35-47fd-b51d-178a55c87469,pdfs/2024-2025/Municipality/Kozhikode/Feroke_Municipality/414.pdf,your-pdf-bucket,192429,top,2024-2025,Municipality,Kozhikode,Feroke Municipality,414,2021-2026
fb77a6cf-d79a-4c81-ab47-3dfb11620e00,pdfs/2024-2025/Municipality/Kannur/Sreekandapuram_Municipality/168.pdf,your-pdf-bucket,198483,top,2024-2025,Municipality,Kannur,Sreekandapuram Municipality,168,2021-2026
0244755e-8aee-4aa7-ae5b-2292dec80c6e,pdfs/2022-2023/Municipality/Malappuram/Parappanangadi_Municipality/74.pdf,your-pdf-bucket,200992,top,2022-2023,Municipality,Malappuram,Parappanangadi Municipality,74,2021-2026
8cad15fe-e2cb-4ba3-a970-0e6d5d2d2d84,pdfs/2022-2023/Grama_Panchayat/Pathanamthitta/Ranni_Grama_Panchayat/113.pdf,your-pdf-bucket,199778,top,2022-2023,Grama Panchayat,Pathanamthitta,Ranni Grama Panchayat,113,2021-2026
c0da2e9b-daf5-45e1-b08c-bdfa9e2035fb,pdfs/2021-2022/Grama_Panchayat/Malappuram/Pallickal_Grama_Panchayat/301.pdf,your-pdf-bucket,196695,top,2021-2022,Grama Panchayat,Malappuram,Pallickal Grama Panchayat,301,2021-2026
8923adf0-9c7b-4e0b-8363-badeb17bfb82,pdfs/2022-2023/Grama_Panchayat/Ernakulam/Ezhikkara_Grama_Panchayat/104.pdf,your-pdf-bucket,196207,top,2022-2023,Grama Panchayat,Ernakulam,Ezhikkara Grama Panchayat,104,2021-2026
5f3414b4-8e64-4bb5-90a1-7f6de1de8fb2,pdfs/2022-2023/Block_Panchayat/Palakkad/Attappady_Block_Panchayat/235.pdf,your-pdf-bucket,195823,top,2022-2023,Block Panchayat,Palakkad,Attappady Block Panchayat,235,2021-2026
4e7576c6-0111-4246-b268-d00288317711,pdfs/2024-2025/Grama_Panchayat/Idukki/Adimaly_Grama_Panchayat/109.pdf,your-pdf-bucket,194308,top,2024-2025,Grama Panchayat,Idukki,Adimaly Grama Panchayat,109,2021-2026
50c446aa-864a-41c1-b999-09c66108b67d,pdfs/2024-2025/Grama_Panchayat/Kozhikode/Kodiyathur_Grama_Panchayat/302.pdf,your-pdf-bucket,198754,top,2024-2025,Grama Panchayat,Kozhikode,Kodiyathur Grama Panchayat,302,2021-2026
aa0a3f53-5839-4cfe-9cdb-4eb719734e2f,pdfs/2023-2024/Grama_Panchayat/Ernakulam/Vengoor_Grama_Panchayat/47.pdf,your-pdf-bucket,195873,top,2023-2024,Grama Panchayat,Ernakulam,Vengoor Grama Panchayat,47,2021-2026
cc14bf8b-db7c-4228-aedf-1d4cfa1bb205,pdfs/2018-2019/Grama_Panchayat/Thrissur/Alur_Grama_Panchayat/349.pdf,your-pdf-bucket,199550,top,2018-2019,Grama Panchayat,Thrissur,Alur Grama Panchayat,349,2017-2020
8f957593-c12f-4e1d-bc9d-edfa0c3aa4d7,pdfs/2020-2021/Grama_Panchayat/Ernakulam/Parakkadavu_Grama_Panchayat/335.pdf,your-pdf-bucket,193885,top,2020-2021,Grama Panchayat,Ernakulam,Parakkadavu Grama Panchayat,335,2017-2020
